,Psalm,Verse,hebrew_lemmas,septuagint_lemmas,gallican_psalter_lemmas,hebrew_psalter_lemmas
82,8,5,מה אנוש כי תזכרנו בן אדם כי תפקד,τις εἰσίζω ανθρώπος οἴομαι μιμνησκη αὐτάω ἠμί υἱός ἄνθρωπος οἴομαι επισκεπτη αυτον,quis sum homo quod memor sum is aut filius homo quoniam visitas is,quis sum homo quoniam recordaris is vel filius homo quoniam visitas is
83,8,6,ותחסרהו מעט אלוהים כבוד הדר תעטרהו,ἀλαττάω αυτον βραχύνω τις πάρειμι ἄγγελος δοξη καίω τιμάω ἑστεφανόω αυτον,minuo is paulus parue ab angelus gloria et honor corono is,minuo is paulus parue ab deus gloria et decor corono is
84,8,7,תמשילהו מעשה יד כול שתה תחת רגל,καίω καθίστημι αυτον ἕπομαι τῷ ἔργω τίνω χειρων σύ παντάω υπετάσσω υποφατάω τίνω πούς αὐτάω,et constituo is super opus manus tuus omnis subicio sub pes is,do is potestas super opus manus tuus cunctus pono sub pes is
85,8,8,צנה אלף כול גם בהמה שדי,προβαίνω καίω βοῦς πατέω εἶμι δέω καίω τῷ κτέομαι τις πεδίομαι,ovis et bos universus insuper et pecus campus,ovis et armentum omnis insuper et animal ager
86,8,9,ציפור שמיים דג ים עבר אורח יום,τῷ πετεινός τις οὐρανός καίω του ιχθύς ὁ θάλασσα τῷ διαπορεύω τρίβος θαλάσσω,volucer caelum et pisces mas qui perambulo semitas mas,avis caelum et pisces mas qui pertranseo semitas pons
87,8,10,יהוה אדנינו מה אדיר שם כל ארץ,κυρίω ὁ κυριος εἶμι οἰδα θαύμαστος τῷς οἰνόω σύ εἶμι πατέω τῆ γαίνω,dominus dominus noster quam admirabilis sum nomen tuus in universus terra,dominus dominator noster quam grans sum nomen tuus in universus terra
88,9,1,מנצח עלמה לבן מזמור דוד,ἐίω τῷς τέλομαι ὀπέρω τίνω κρυφίων τις υἱός ψαλμος τίω δαυιδάω,in finis pro occulo filius psalmus davida,victor pro mors filius canticus davida
89,9,2,הודה יהוה כל לב סיפר כל נפלאות,ἑξομολογέομαι σύ κυρίω εἶμι ὁλάω καρδίνω ἐγώ διηγέομαι παντάω τῷ θαυμάσιος σύ,confiteor tu dominus in totus cor meus narro omnis mirabilis tuus,confiteor dominus in totus cor meus narro omnis mirabilis tuus
90,9,3,שמחה ואעלצה את אזמרה שם עליון,ευφραίνω καίω αγαλλίσσω εἶμι σύ ψάλλω τίω οἰνόω σύ εὐψίστημι,laeto et exsulto in tu psallo nomen tuus alte,laeto et gaudeo in tu conor nomen tuus altus
91,9,4,שוב אויב אחור נכשל איבד מפני,εἶμι τίω αἰπτρέφω τίνω ἄχθρος ἐγώ ἐίω τῷ οἶπον ἀσθένημι καίω απολουνάω ἕπομαι προσόπτω σύ,in converto inimicus meus retrorsus infirmo et pereo ab facies tuus,cum cado inimicus meus retrorsus et corrumro et peiero ab facies tuus
92,9,5,כי עשית משפט דין ישיבה כיסא שופט צדק,οἴομαι εποιέω τημ κρίνω ἐγώ καίω τημ δίκημι ἐγώ εκαθίζω ἕπομαι θρῴσκω ὁ κρίνω δικαιόσυνος,quoniam facio iudicium meus et causa meus sedeo super thronus qui iudico iustitia,facio enim iudicium meus et causa meus sedeo super solium iudex iustitia
93,9,6,גערת גוי אבדה רשע שם מחיה לעולם ועד,ἀποτιμάω εἶμι καίω απόλλυμι ὁ ασεβή τῷς οἰνόω αὐτός εἴρω ἐίω τίνω αιών καίω ἐίω τίνω αιών τις αιών,increpo gens et pereo impius nomen is delibo in aeternus et in saeculum saeculum,increpuio gens pereo impius nomen is delibo in sempiternus et iugiter
94,9,7,אויב תם חרב נצח עיר נתשת איבד זכר הוא,τις εχθρῷς ἐξελίπτω ἵημι ρομφαῖος ἐίω τέλομαι καίω πολύς καθαιρέω απόλλυμι τῷς μνημοσυνον αὐτός μέτειμι ἥχω,inimicus deficio framea in finis et civitas destruo pereo memoria is cum sonitus,conpleo sum solitudo in finis et civitas subverto pereo memoria is cum ipse
95,9,8,אלוהים לעולם ישב כונן משפט כיסא,καίω ὁ κυριος ἐίω τίνω αιών μένω ἑτοιμάζω εἶμι κρίνω τίνω θρονός αὐτάω,et dominus in aeternus permaneo para in iudicium thronus suus,dominus autem in sempiternus sedeo stabilio ad iudico solium suus
96,9,9,הוא שפט תבל צדק ידין אמין מישר,καίω αυτος κρίνω τημ οἰκέω εἶμι δικαιοσυνής κρίνω λαός εἶμι εὐθύσσω,et ipse iudico orbis terra in aequitas iudico populus in iustitia,et ipse iudico orbis in iustitia iudico populus in aequitas
97,9,10,היי יהוה משגב לדך משגב עת צר,καίω ἵημι κυριος καταφυγη τίω θείνω βοηθος εἶμι ευκαιρι~ς εἶμι θλίπτω,et facio sum dominus refugium pauper adiutor in oportunitas in tribulatio,et sum dominus elevatio opprimo elevatio oportuna in angustia
98,9,11,האמין בי יודע שם כי לא עזב דרש יהוה,καίω ελπίζω ἕπομαι σύ οἶδα γιγνώσκω τῷς οἰνόω σύ οἴομαι οὐκέω εγκατελιπείς του εκζητέω σύ κυρίω,et spero in tu qui nosco nomen tuus quoniam non derelinquo quaero tu dominus,et confideo in tu qui nosco nomen tuus quoniam non derelinquo quaero tu dominus
99,9,12,זימר יהוה ישב ציון הגיד עם עלילה,ψάλλομαι τίω κυριω τίω κατοικέω εἶμι σῖος αναγγέλλω εἶμι ὁ εἶμι τῷ επιτηδέω αὐτάω,psallo dominus qui habito in sion adnuntio inter gens studium is,canto dominus habitator sion adnuntio in populus commutatio is
100,9,13,כי דרש דם את זכר לא שכח צעקה ענווה,οἴομαι εκζητός τῷ αἴμω αὐτός εμνάομαι οὐκέω πελαθίθημι ὁ κραυγή τίνω πίπτω,quoniam requiro sanguis is recordo sum non sum obliuiscor clamor pauper,quoniam quaero sanguis is recordo sum nec obliuiscor sum clamor pauper
101,9,14,חננני יהוה ראה עני משנאי מרומם שער מוות,ἐλεέω ἐγώ κυρίω εἶδον τημ ταπεινόω ἐγώ ἵημι τίνω εχθρων ἐγώ ὁ ὦψος ἐγώ ἵημι τίνω πύλος τις ἕνατος,misereor meus dominus video humilitas meus de inimicum meus qui exalio ego de porta mors,misertus sum meus dominus vido adflictio meus ex inimicum meus qui exalto ego de porta mors
102,9,15,למען סיפר כל תהילה שער בת ציון אגילה ישועה,οπως ἄἱς εξαγγέλλω πατέω ὁ αἰνέω σύ εἶμι ὁ πυλή ὁ θυγάτηρ σῖος αγαλλίσσω ἕπομαι τίω σωτερίζω σύ,ut adnuntio omnis laudatio tuus in porta filia sion exsulto in salutaris tuus,ut naro omnis laus tuus in porta filia sion exsulto in salutaris tuus
103,9,16,טבע גוי שחייה עשו רשת זה טמנו נלכד רגל,ἐν-παγέω ἵημι εἶμι διαφθείρω ἠμί εποιέω εἶμι πάγειμι οὗτος ἠμί ἐκρύπτω συμλαμβάνω ὁ πούς αὐτός,infigo sum gens in interitus qui facio in laqueus iste qui abscondo conprehendo sum pes is,demergo sum gens in interitus qui facio in res quod abscondo capio sum pes is
104,9,17,נודע יהוה משפט עשה פועל כף נוקש רשע היגיון סלה,γιγνώσκω κυριος κρίνω ποιέω εἶμι ὁ ἔργω τίνω χειρων αὐτάω συμλαμβάνω ὁ αμαρτωλος οἶδα διαψαλμήτος,cognosco dominus iudicium facio in opus manus suus conprehendo sum peccator canticus diapsolmo,agnitus sum dominus iudicium facio in opus manus suus corrumpo impius sonitus sempiternus
105,9,18,שב רשע שאול כל גוי שכח אלוהים,αἰπτραφητόω οἶδα αμαρτωλός ἐίω τίνω ἵημι παντάω τῷ ἵημι τῷ ἑπιλανθάνω τις θέω,converto peccator in infernus omnis gens qui oblivisco deus,converto impius in infernus omnis gens qui obliuiscor sum deus
106,9,19,כי לא נצח נשכח אביון תקווה עני איבד לעד,οἴομαι οὐκέω ἐίω τέλομαι λιλέομαι ὁ πτωχος ἠμί υπομονή τίνω πίπτω οὐκέω απόλλυμι ἐίω τίνω αιών,quoniam non in finis oblivio sum pauper patientia pauper non pereo in finis,quoniam non in aeternus oblivio sum pauper exspectatio pauper non pereo in perpetuus
107,9,20,קומה יהוה אל העז אנוש נשפט גוי על פנים,αἰνάνω κυρίω μή κραταιόομαι ανθρώπος κρίνω ἵημι ενωπιός σύ,exsurgo dominus non conforto homo iudico gens in conspectus tuus,surgo dominus non conforto homo iudico gens ante facies tuus
108,9,21,שיתה יהוה מורה להם ידע גוי אנוש הוא סלה,καθίστημι κυρίω νομοθέτης εἶπον αὐτός γιγνώσκω ἵημι οἴομαι ἄνθρωπος εἶμι διαψάλλω,consto dominus legislator super is scio gens quoniam homo sum diapsalmus,pono dominus terror is scio gens homo sui esse semper
109,10,1,למה יהוה העמיד בורח העלים עת צר,ἐνάω τις κυρίω ἀφίστημι μακρός υπερόρα εἶμι ευκαιρι~ς εἶμι θλίπτω,ut quis dominus recesso longe dispicio in oportunitas in tribulatio,quare dominus sum ab longe dispicio in tempus angustia
110,10,2,גאות רשע הסתלק עני יתפשו במזמות זה חישב,εἶμι τίω υπεραφανεύομαι τίνω αἰσβαίνω εμπυρίζω ὁ πτωχος συλλαμβάνω εἶμι διαβούλιος οἶ διαλογίζομαι,dum superbeo impius incendo pauper conprehendo in consilium qui cogito,in superbia impius ardeo pauper capio in scelus qui cogito
111,10,3,כי הלל רשע על תאווה נפש בצע ברך נאץ יהוה,οἴομαι επαινέω ὁ αμαρτωλος εἶμι ὁ επιθυμια ὁ ψυχή αὐτάω καίω ὁ αδικός εἰνυλογέομαι,quoniam laudo peccator in desiderium anima suus et iniquus benedico,quia laudo impius desiderium anima suus et avarus adplaudo sui
112,10,4,רשע גבוה אף בל נדרש אין אלוהים כל מזמותיו,παραξύνω τίνω κυριός ὁ αμαρτωλος κάθημαι τῷς πληθος ὁ οργης αὐτάω οὐκέω ἐκζηθέω οὐκέω εἰσίζω ὁ θεος ενωπιός αὐτάω,exacerbavo dominus peccator secundum multitudo ira suus non quaero non sum deus in conspectus is,blasphemo dominus impius secundum altitudo furor sui non requiro nec sum deus in omnis cogitatio is
113,10,5,יישר דרך כול עת מרום משפט נגד כל צורריו הפיח הוא,βαλόω ἵημι οἶδα αὐτάω εἶμι παντίζω καιρω ανταναίρω τῷ κρίνω σύ ἕπομαι προσόπτω αὐτάω πᾶς τίνω εχθρων αὐτάω κατακυριεύω,inquino sum via ille in omnis tempus aufero iudicium tuus ab facies is omnis inimicus suus dominor,parturio via is in omnis tempus longe sum iudicium tuus ab facies is omnis inimicus suus dispicio
114,10,6,אמר לב בל אמוט לדר דר אשר לא רע,εἶπον γαίρω εἶμι καρδίνω αὐτάω οὐδόω μή σαλεύω ἕπομαι γενεά ἐίω γενεά αἰνέω κάκομαι,dico enim in cor suus non movo ab generatio in generatio sine malum,loquor in cor suus non movo in generatio et generatio sum sine malum
115,10,7,אלה פה מלא ומרמות ותך תחת לשון עמל אוון,οὐδόω αρά τῷς στόμνω αὐτάω γέμω καίω πικριος καίω δόλλυμι ἄπειμι τημ γλωσσα αὐτάω κοπος καίω πονος,qui maledictio os plenus sum et amaritudo et dolus sub lingua is labor et dolor,maledictio os is plenus sum et dolum et avaritia sub lingua is dolor et iniquitas
116,10,8,ישב מארב חצר במסתרים נהרג נקי עין לחלכה יצפנו,ἑκνατάομαι ἐνδράω μεθίημι πλουσείω εἶμι αποκρύφος αἰποκτείνω αθών οἶδα οφθαλμός αὐτάω ἐίω τίνω φαίνω αποβλέπω,sedeo in insidium cum dives in occulo ut interficio innocens oculus is in pauper respicio,sedeo insidio iuxta vestibula in abscondo ut interficio innocens oculus is robustus tuus circumspicio
117,10,9,יארב במסתר ארי סוכה יארב חטף עני ליטף עני במשכו רשת,ἐνδρευόω εἶμι αποκρυφω οἰδα λέω εἶμι τῆ μάνυμαι αὐτάω ἐνδρευόω τις αἱρπάζω πτώκω αἱρπάζω πτώκω εἶμι τίω λκύω αυτον,insidio in abscondo quasi leo in spelunca suus insidio ut rapio pauper rapio pauper dum adtraho is in laqueus suus humilio is,insidio in abscondo quasi leo in cubilis insidio ut rapio pauper rapio pauper cum adtraho is ad res suus
