Hebrew Trans,Septuagint Trans,Gallican Psalter Trans,Hebrew Psalter Trans
"Set fear over them, O LORD; let the nations know that they are but mortal. Selah.","Appoint, O Lord, a lawgiver over them; let the nations know that they are but men. A pause.","Appoint, O Lord, a lawgiver over them; let the nations know that they are but men. Diapsalma.","Set terror over them, O Lord; let the nations know that they are but men, always."
"Why, O LORD, do You stand afar off? Why do You hide Yourself in times of trouble?","Why, O Lord, do you stand far off? Why do you overlook in times of prosperity, in tribulation?","Why, O Lord, have You withdrawn afar? Why do You look away in times of need, in tribulation?","Why, O Lord, do You stand far off? Why do You look away in times of distress?"
In the pride of the wicked he hotly pursues the poor; let them be caught in the schemes that they have devised.,"When the ungodly is arrogant, the poor is set on fire; they are caught in the schemes which they devise.","While the ungodly is proud, the poor is set on fire; they are caught in the schemes which they devise.","In the pride of the wicked, the poor man burns; let them be caught in the schemes which they have devised."
"For the wicked boasts of the desire of his soul, and the one greedy for gain curses and spurns the LORD.","For the sinner is praised in the desires of his soul, and the one who does wrong is blessed.","For the sinner is praised in the desires of his soul, and the unjust one is blessed.","For the wicked has praised the desire of his soul, and the greedy man, applauding himself,"
"The wicked, in the haughtiness of his countenance, does not seek Him; ""There is no God"" is all his thoughts.",The sinner has provoked the Lord; according to the multitude of his wrath he will not seek him out. God is not before him.,The sinner has provoked the Lord; according to the multitude of his wrath he will not seek God; God is not before his sight.,"has blasphemed the Lord. The wicked, according to the height of his fury, will not seek Him; neither is God in any of his thoughts."
"His ways prosper at all times; Your judgments are far above, out of his sight; as for all his adversaries, he puffs at them.",His ways are profaned at every time; your judgments are removed from before him; he will lord it over all his enemies.,His ways are defiled at all times; Your judgments are removed from his face; he shall dominate all his enemies.,His ways bring forth fruit at all times; Your judgments are far from his sight; he looks down upon all his enemies.
"He says in his heart, ""I shall not be moved; from generation to generation I shall not be in adversity.""","For he said in his heart, ""I shall not be shaken, from generation to generation without evil.""","For he has said in his heart: I shall not be moved from generation to generation, without evil.",He speaks in his heart: I shall not be moved; from generation to generation I shall be without evil.
His mouth is full of cursing and deceit and oppression; under his tongue is mischief and iniquity.,His mouth is full of cursing and bitterness and deceit; under his tongue are trouble and pain.,Whose mouth is full of cursing and bitterness and deceit; under his tongue are labor and sorrow.,His mouth is full of cursing and deceit and greed; under his tongue are pain and iniquity.
He sits in the ambush of the courtyards; in secret places he slays the innocent; his eyes watch stealthily for the helpless.,"He sits in ambush with the rich, in secret places to slay the innocent; his eyes look out against the poor.","He sits in ambush with the rich in secret places, that he may kill the innocent; his eyes look upon the poor.","He sits in ambush near the doorways, in hidden places, so that he may kill the innocent; his eyes watch for your strong ones."
He lurks in secret like a lion in his thicket; he lies in wait to catch the poor; he catches the poor when he draws him into his net.,"He lies in wait in secret like a lion in his den; he lies in wait to seize the poor, to seize the poor by dragging him away.",He lies in wait in secret like a lion in his den; he lies in wait to seize the poor; to seize the poor when he draws him into his snare; he shall humble him.,He lies in wait in secret like a lion in his den; he lies in wait to seize the poor man; he seizes the poor man when he draws him into his net.
